energy,intensity,InitialState,FinalState,alpha,gamma
1226.70,0.018,2604.68_214Po,1377.68_214Po,0,1
1230.60,0.008,2505.37_214Po,1274.77_214Po,0,1
1238.12,5.834,1847.44_214Po,609.32_214Po,0.012,1
1279.00,0.013,2940.67_214Po,1661.28_214Po,0,1
1280.98,1.434,1890.31_214Po,609.32_214Po,0.01101,1
1284.00,0.011,2662.31_214Po,1377.68_214Po,0,1
1285.10,0.016,3014.11_214Po,1729.61_214Po,0,1
1303.75,0.107,2719.27_214Po,1415.49_214Po,0,1
1316.99,0.081,2694.62_214Po,1377.68_214Po,0,1
1321.50,0.005,2698.76_214Po,1377.68_214Po,0,1
1329.94,0.081,2604.68_214Po,1274.77_214Po,0,1
1341.49,0.021,2719.27_214Po,1377.68_214Po,0,1
1370.50,0.01,2785.96_214Po,1415.49_214Po,0,1
1377.67,3.988,1377.68_214Po,0.00_214Po,0.00404,1
1385.31,0.793,1994.64_214Po,609.32_214Po,0.00163,1
1392.50,0.009,2769.94_214Po,1377.68_214Po,0,1
1401.52,1.33,2010.83_214Po,609.32_214Po,0.0053,1
1407.99,2.394,2017.31_214Po,609.32_214Po,0.00389,1
1419.70,0.0053,2694.62_214Po,1274.77_214Po,0,1
1449.20,0.018,2826.98_214Po,1377.68_214Po,0,1
1470.90,0.0092,3014.11_214Po,1543.37_214Po,0,1
1479.17,0.055,2088.44_214Po,609.32_214Po,0,1
1481.30,9e-04,3142.58_214Po,1661.28_214Po,0,1
1483.50,0.013,2860.89_214Po,1377.68_214Po,0,1
1509.21,2.13,2118.53_214Po,609.32_214Po,0.00732,1
1515.50,0.0068,2893.58_214Po,1377.68_214Po,0,1
1538.53,0.398,2147.83_214Po,609.32_214Po,0,1
1543.34,0.303,1543.37_214Po,0.00_214Po,0.00333,1
1583.20,0.705,2192.54_214Po,609.32_214Po,0.00642,1
1594.75,0.267,2204.09_214Po,609.32_214Po,0.00644,1
1595.00,0.005,2869.60_214Po,1274.77_214Po,0,1
1598.00,0.006,3014.11_214Po,1415.49_214Po,0,1
1599.37,0.324,2208.69_214Po,609.32_214Po,0,1
1636.36,0.0115,3014.11_214Po,1377.68_214Po,0,1
1637.00,0.006,3053.93_214Po,1415.49_214Po,0,1
1657.07,0.048,2266.41_214Po,609.32_214Po,0,1
1661.27,1.047,1661.28_214Po,0.00_214Po,0.00296,1
1665.90,0.0067,2940.67_214Po,1274.77_214Po,0,1
1676.10,0.005,3053.93_214Po,1377.68_214Po,0,1
1684.01,0.214,2293.36_214Po,609.32_214Po,0,1
1711.00,0.0018,2986.24_214Po,1274.77_214Po,0,1
1729.60,2.878,1729.61_214Po,0.00_214Po,0.00278,1
1751.60,0.001,2360.57_214Po,609.32_214Po,0,1
1764.49,15.3,1764.52_214Po,0.00_214Po,0.00511,1
1813.72,0.011,2423.23_214Po,609.32_214Po,0,1
1819.20,0.0014,3094.01_214Po,1274.77_214Po,0,1
1838.36,0.35,2447.70_214Po,609.32_214Po,0,1
1847.43,2.025,1847.44_214Po,0.00_214Po,0,1
1873.16,0.214,2482.47_214Po,609.32_214Po,0,1
1890.32,0.084,1890.31_214Po,0.00_214Po,0,1
1896.05,0.149,2505.37_214Po,609.32_214Po,0,1
1898.68,0.05,2508.17_214Po,609.32_214Po,0,1
1935.62,0.032,2544.96_214Po,609.32_214Po,0,1
1994.60,0.007,2604.68_214Po,609.32_214Po,0,1
2010.82,0.0444,2010.83_214Po,0.00_214Po,0,1
2021.55,0.0205,2630.86_214Po,609.32_214Po,0,1
2052.97,0.069,2662.31_214Po,609.32_214Po,0,1
2085.19,0.044,2694.62_214Po,609.32_214Po,0,1
2089.67,0.0453,2698.76_214Po,609.32_214Po,0,1
2109.98,0.085,2719.27_214Po,609.32_214Po,0,1
2118.51,1.16,2118.53_214Po,0.00_214Po,0.00356,1
2120.00,0.007,2728.61_214Po,609.32_214Po,0,1
2147.99,0.0137,2147.83_214Po,0.00_214Po,0,1
2160.40,0.0018,2769.94_214Po,609.32_214Po,0,1
2176.54,0.0033,2785.96_214Po,609.32_214Po,0,1
2192.59,0.042,2192.54_214Po,0.00_214Po,0,1
2204.06,4.924,2204.09_214Po,0.00_214Po,0.00333,1
2251.51,0.0058,2860.89_214Po,609.32_214Po,0,1
2260.27,0.0087,2869.60_214Po,609.32_214Po,0,1
2266.53,0.0166,2266.41_214Po,0.00_214Po,0,1
2270.90,0.0013,2880.36_214Po,609.32_214Po,0,1
2284.34,0.005,2893.58_214Po,609.32_214Po,0,1
2287.65,0.0045,2896.98_214Po,609.32_214Po,0,1
2293.38,0.307,2293.36_214Po,0.00_214Po,0,1
2310.20,0.0014,2919.50_214Po,609.32_214Po,0,1
2312.42,0.0088,2921.90_214Po,609.32_214Po,0,1
2319.30,4e-04,2928.56_214Po,609.32_214Po,0,1
2325.16,0.0017,2934.54_214Po,609.32_214Po,0,1
2331.36,0.0217,2940.67_214Po,609.32_214Po,0,1
2348.00,0.00014,2348.30_214Po,0.00_214Po,0,1
2353.50,4e-04,2962.80_214Po,609.32_214Po,0,1
2360.98,0.0016,2360.57_214Po,0.00_214Po,0,1
2369.54,0.0028,2978.93_214Po,609.32_214Po,0,1
2376.91,0.0089,2986.24_214Po,609.32_214Po,0,1
2390.83,0.00158,3000.00_214Po,609.32_214Po,0,1
2405.10,0.00041,3014.11_214Po,609.32_214Po,0,1
2423.34,0.0049,2423.23_214Po,0.00_214Po,0,1
2444.70,0.0082,3053.93_214Po,609.32_214Po,0,1
2447.70,1.548,2447.70_214Po,0.00_214Po,0.00142,1
2472.90,0.0023,3081.80_214Po,609.32_214Po,0,1
2482.80,0.002,2482.47_214Po,0.00_214Po,0,1
2505.48,0.0056,2505.37_214Po,0.00_214Po,0,1
2550.70,0.00032,3160.30_214Po,609.32_214Po,0,1
2553.00,1e-04,2553.00_214Po,0.00_214Po,0,1
2562.00,0.00018,2562.40_214Po,0.00_214Po,0,1
2564.00,0.00014,3173.30_214Po,609.32_214Po,0,1
2574.20,0.00048,3183.65_214Po,609.32_214Po,0,1
2604.50,4e-04,2604.68_214Po,0.00_214Po,0,1
2630.90,0.00086,2630.86_214Po,0.00_214Po,0,1
2662.30,2e-04,2662.31_214Po,0.00_214Po,0,1
2694.66,0.0303,2694.62_214Po,0.00_214Po,0,1
2699.26,0.0028,2698.76_214Po,0.00_214Po,0,1
2719.33,0.0017,2719.27_214Po,0.00_214Po,0,1
2769.93,0.0246,2769.94_214Po,0.00_214Po,0,1
2785.95,0.0056,2785.96_214Po,0.00_214Po,0,1
2826.97,0.0023,2826.98_214Po,0.00_214Po,0,1
2861.00,4e-04,2860.89_214Po,0.00_214Po,0,1
2880.35,0.0101,2880.36_214Po,0.00_214Po,0,1
2893.53,0.0058,2893.58_214Po,0.00_214Po,0,1
2921.98,0.0137,2921.90_214Po,0.00_214Po,0,1
2928.54,0.0011,2928.56_214Po,0.00_214Po,0,1
2934.57,0.00047,2934.54_214Po,0.00_214Po,0,1
2978.93,0.014,2978.93_214Po,0.00_214Po,0,1
2999.97,0.0088,3000.00_214Po,0.00_214Po,0,1
3053.93,0.0211,3053.93_214Po,0.00_214Po,0,1
3081.77,0.005,3081.80_214Po,0.00_214Po,0,1
3094.00,0.00038,3094.01_214Po,0.00_214Po,0,1
3142.56,0.0012,3142.58_214Po,0.00_214Po,0,1
3149.00,8.6e-05,3149.20_214Po,0.00_214Po,0,1
3160.50,0.00047,3160.30_214Po,0.00_214Po,0,1
3183.63,0.00133,3183.65_214Po,0.00_214Po,0,1
