 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
562.98,0.14,0.0202,0.0019,684.69,121.7818,,,E2,,,0.00941, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
563.1, ,0.0003,0.000021,1318.456,755.396,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
563.986,0.005,0.494,0.005,1649.833,1085.8408,,,(E1),,,0.00330, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
566.438,0.006,0.131,0.003,1529.8019,963.363,,,M1+E2,-0.74,35,0.0134, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
571.83,0.08,0.00444,0.00016,1612.88,1041.1217,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
586.2648,0.0026,0.455,0.004,930.546,344.2789,,,E0+M1+E2,,,0.013, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
588.6,0.3,0.0024,0.0011,1822.03,1233.8626,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
589.83,0.17,0.0013,0.00008,1612.88,1022.969,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
595.61,0.12,0.032,0.011, , ,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
608.06,0.15,0.00027,0.00008,1292.753,684.69,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
609.23,0.22,0.00122,0.00016,1649.833,1041.1217,,, ,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
615.41,0.05, , ,615.415,0,,,E0,,, , ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
616.05,0.05,0.0092,0.0005,1579.427,963.363,,,[E2],,,0.00750, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
644.39,0.06,0.0066,0.0005,1730.207,1085.8408,,,[E1],,,0.00248, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
656.489,0.005,0.1441,0.0022,1022.969,366.4795,,,E0+M1+E2,,,0.0568, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13, ,-1.9401, ,2.71, ,1874.3,1.8,62,90,Sm,
