 energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
873.06,0.18,0.018,0.003,2147.83,1274.766,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
878.03,0.12,0.012,0.003,2293.358,1415.495,,,[M1 E2],,,0.019, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
891.8,0.3, , ,2604.68,1712.97,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
904.31,0.08,0.076,0.007,2447.702,1543.372,,,[E1],,,0.00326, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
915.75,0.13,0.023,0.002,2293.358,1377.678,,,[M1 E2],,,0.017, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
917.7,0.3,0.005,0.003,2192.537,1274.766,,,[E1],,,0.00317, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
930.2,0.2,0.026,0.004,2694.62,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
934.056,0.006,3.107,0.01,1543.372,609.316,,,M1+E2,-0.3,1,0.0234, ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
934.1,0.2,0.05,0.01,2208.69,1274.766,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
934.5,0.5,0.01,0.003,2698.76,1764.515,,, ,,, , ,83,131,Bi,0, ,1-, ,19.9,4,m,1194,24,B-,99.979,0.001, , , , , ,3269,11,84,130,Po
