,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
57,806.185,A0,226Ra,1,214Po,0.001838767235833,1.83616821302748e-05,0.008162242286902,8.04743788616179e-05,NA,NA,1.10314
58,806.185,A1,226Ra,1,214Po,0.002026873889803,2.01190464938301e-05,0.009004765918442,8.84388202036844e-05,1.22032872250002,0.0246552809905432,1.10624
59,806.185,A2,226Ra,1,214Po,0.001802690877941,1.80033520576146e-05,0.008170994494568,8.05397817488408e-05,1.19518390172386,0.0242085285778433,1.11144
60,806.185,A3,226Ra,1,214Po,0.00189931347408,1.89668472059308e-05,0.00832322747714,8.20439083836824e-05,1.1607773009848,0.0235109356573276,1.07426
61,806.185,B0,226Ra,1,214Po,0.00199300873489,1.9872688731612e-05,0.008576282245017,8.4551625095106e-05,1.1217398852856,0.0227112399361185,1.15171
62,806.185,B1,226Ra,1,214Po,0.001913355831557,1.90505053772804e-05,0.00806498809217,7.94739026761654e-05,1.13541000244737,0.0229798319066994,1.11152
63,806.185,B2,226Ra,1,214Po,0.001939730959677,1.93630647387666e-05,0.008094196757746,7.98809922506171e-05,1.19647765119199,0.0242392508653431,1.10519
64,806.185,B3,226Ra,1,214Po,0.001941998379814,1.9349064912016e-05,0.00851012896552,8.38104748894253e-05,1.17543396970262,0.0237880665935293,1.10413
65,934.061,A0,226Ra,1,214Po,0.001657881133158,1.51657039359767e-05,0.007582808821425,6.8942162213844e-05,NA,NA,1.09878
66,934.061,A1,226Ra,1,214Po,0.001827235333383,1.66787760900865e-05,0.008455488221787,7.67605698208238e-05,1.17159720922661,0.0228067094144424,1.08995
67,934.061,A2,226Ra,1,214Po,0.001639217291035,1.49937485907925e-05,0.007624544857294,6.93029916145103e-05,1.16469173693298,0.0226937581261152,1.07874
68,934.061,A3,226Ra,1,214Po,0.001705114277286,1.55926601786291e-05,0.007767775702921,7.06106592220412e-05,1.11660825971938,0.0217555822315089,1.0877
69,934.061,B0,226Ra,1,214Po,0.001831696479951,1.67340125693352e-05,0.008018175239951,7.28787373856552e-05,1.1027066468775,0.0214780072608689,1.11567
70,934.061,B1,226Ra,1,214Po,0.001730835516661,1.5816687989861e-05,0.007496278162056,6.81610088134926e-05,1.1050217006829,0.0215286624815765,1.0896
71,934.061,B2,226Ra,1,214Po,0.00173274304696,1.58465971018924e-05,0.007525054132997,6.84321142019692e-05,1.14963873184256,0.0224021762479556,1.08889
72,934.061,B3,226Ra,1,214Po,0.001758329331703,1.60688397403791e-05,0.007928048648378,7.20480155693366e-05,1.14240325104275,0.0222521387879926,1.10704
73,1120.287,A0,226Ra,1,214Po,0.001431020997025,1.2023463496103e-05,0.006640989516196,5.57149026946012e-05,NA,NA,1.09426
74,1120.287,A1,226Ra,1,214Po,0.001587170914769,1.33298753543918e-05,0.007447965832885,6.24680947307184e-05,1.15533665815206,0.0217402300127632,1.08678
75,1120.287,A2,226Ra,1,214Po,0.001416133937884,1.18987047420699e-05,0.006662417279543,5.58940095801102e-05,1.15149191404112,0.021675994338616,1.06369
76,1120.287,A3,226Ra,1,214Po,0.001476097054201,1.24010716222081e-05,0.006829465237789,5.72929965360615e-05,1.09944178004919,0.0206950318005227,1.07947
