,Energy,Detector,Nuclide,is_InCas,Daughter,x100mm,dx100mm,x13mm,dx13mm,z,dz,sim_z
48,778.9045,B3,152Eu,1,152Gd,0.002089206437538,1.1756652669004e-05,0.009055928895422,5.67758413055384e-05,1.18832126080967,0.0200356993323648,1.05711
49,867.38,A0,152Eu,1,152Sm,0.001744771355986,1.1441433019193e-05,0.008003560299481,7.03442117521317e-05,NA,NA,1.17169
50,867.38,A1,152Eu,1,152Sm,0.001910025538887,1.24525132819187e-05,0.008571815437752,7.34211554693236e-05,1.20806108708569,0.0219148263297036,1.19246
51,867.38,A2,152Eu,1,152Sm,0.001736197604387,1.13767810089709e-05,0.007948072577482,6.96134737142785e-05,1.18338407362032,0.0215954578603285,1.20345
52,867.38,A3,152Eu,1,152Sm,0.001792405973143,1.17403775587402e-05,0.008352229008362,7.28634552427907e-05,1.091636405539,0.0199014687787669,1.1415
53,867.38,B0,152Eu,1,152Sm,0.001949895341753,1.27081516251998e-05,0.007900809474412,6.85357185741392e-05,1.19130163543932,0.0216745290254142,1.17468
54,867.38,B1,152Eu,1,152Sm,0.001857648719362,1.21143714776164e-05,0.007554294216585,6.58241712264161e-05,1.17687516763411,0.0214385378788058,1.17446
55,867.38,B2,152Eu,1,152Sm,0.00184967343255,1.2080154226736e-05,0.007690664215767,6.67460928202826e-05,1.2007927562527,0.0218581788964654,1.18247
56,867.38,B3,152Eu,1,152Sm,0.00189387664763,1.23506991210623e-05,0.00786020781559,6.78828137351923e-05,1.24108971453559,0.0225597595521034,1.19761
57,964.072,A0,152Eu,1,152Sm,0.001601275823898,8.3529135121708e-06,0.007629227152785,4.54405675648497e-05,NA,NA,1.14172
58,964.072,A1,152Eu,1,152Sm,0.00176641404429,9.19478384181152e-06,0.00828559292814,4.86980180262818e-05,1.15582331114662,0.0191618087283861,1.12827
59,964.072,A2,152Eu,1,152Sm,0.001588696596542,8.28770509902087e-06,0.007701395165475,4.57078592803981e-05,1.1175319511321,0.0185594617043757,1.12171
60,964.072,A3,152Eu,1,152Sm,0.001644972962854,8.57648720722578e-06,0.008043487208528,4.76282102502844e-05,1.04029954989425,0.0172702590993751,1.10221
61,964.072,B0,152Eu,1,152Sm,0.001804430861079,9.38841480397343e-06,0.007656848624282,4.52255850758436e-05,1.137554493459,0.0188730015433624,1.14762
62,964.072,B1,152Eu,1,152Sm,0.001705172184039,8.88018593428433e-06,0.0073401196417,4.35525198901182e-05,1.1117977803366,0.0184610454076204,1.12422
63,964.072,B2,152Eu,1,152Sm,0.001702692130504,8.86830529181419e-06,0.007329764483445,4.35045192572083e-05,1.15979961191549,0.0192587275981959,1.10884
64,964.072,B3,152Eu,1,152Sm,0.001749339682303,9.10649880196965e-06,0.007485067760593,4.43012810063536e-05,1.20382657817323,0.0199789092503979,1.09029
65,1085.837,A0,152Eu,1,152Sm,0.001491888338777,1.01283264147878e-05,0.0075567476232,5.75672386257626e-05,NA,NA,1.10701
66,1085.837,A1,152Eu,1,152Sm,0.001549223465182,1.05183567816231e-05,0.008232427809029,6.19304019266984e-05,1.02025485041117,0.0181334255501724,1.11791
